yahoo_symbol,exchange_symbol,name,stage,reasons
10X.AX,10X,Exultant Mining Limited,market_cap,below_min_market_cap:3866667
14D.AX,14D,1414 Degrees Limited,market_cap,below_min_market_cap:29543392
1AD.AX,1AD,AdAlta Limited,market_cap,below_min_market_cap:6870950
1AE.AX,1AE,Aurora Energy Metals Limited,market_cap,below_min_market_cap:7149782
1AI.AX,1AI,Algorae Pharmaceuticals Limited,market_cap,below_min_market_cap:13011150
1CG.AX,1CG,One Click Group Limited,market_cap,market_cap_unavailable
1MC.AX,1MC,Morella Corporation Limited,market_cap,below_min_market_cap:9134412
1TT.AX,1TT,Thrive Tribe Technologies Limited,market_cap,below_min_market_cap:4102165
29M.AX,29M,29Metals Limited,expected_fcf,expected_fcf_not_positive
3DA.AX,3DA,Amaero Inc.,financial_data,ttm_ebitda_not_positive
3DP.AX,3DP,Pointerra Limited,market_cap,below_min_market_cap:15176897
49M.AX,49M,49 Metals Limited,market_cap,below_min_market_cap:6449934
4DS.AX,4DS,4DS Memory Limited,market_cap,below_min_market_cap:13225018
4DX.AX,4DX,4DMedical Limited,financial_data,ttm_ebitda_not_positive
5GG.AX,5GG,Pentanet Limited,market_cap,below_min_market_cap:5250565
5GN.AX,5GN,5G Networks Limited,market_cap,below_min_market_cap:10545186
6KA.AX,6KA,"6K Additive, Inc.",financial_data,ttm_ebitda_not_positive
88E.AX,88E,88 Energy Limited,market_cap,below_min_market_cap:18979720
8CO.AX,8CO,8common Limited,market_cap,below_min_market_cap:5592386
8IH.AX,8IH,8I Holdings Limited,market_cap,below_min_market_cap:3064289
A11.AX,A11,Atlantic Lithium Limited,financial_data,ttm_ebitda_not_positive
A1M.AX,A1M,AIC Mines Limited,expected_fcf,expected_fcf_not_positive
A3D.AX,A3D,Aurora Labs Limited,market_cap,below_min_market_cap:16800631
A4N.AX,A4N,Alpha HPA Limited,financial_data,ttm_ebitda_not_positive
A8G.AX,A8G,Australasian Metals Limited,market_cap,below_min_market_cap:7223317
AA2.AX,AA2,Ariana Resources plc,financial_data,ttm_ebitda_not_positive
AAC.AX,AAC,Australian Agricultural Company Limited,financial_data,ttm_ebitda_not_positive
AAJ.AX,AAJ,Aruma Resources Limited,market_cap,below_min_market_cap:4777945
AAL.AX,AAL,Alfabs Australia Limited,market_cap,below_min_market_cap:47066289
AAM.AX,AAM,AuMEGA Metals Ltd,market_cap,below_min_market_cap:37368315
AAP.AX,AAP,Australian Agricultural Projects Ltd,market_cap,below_min_market_cap:14455047
AAR.AX,AAR,Astral Resources NL,financial_data,insufficient_annual_history:0
AAU.AX,AAU,Antilles Gold Limited,market_cap,below_min_market_cap:18727093
ABE.AX,ABE,Australian Bond Exchange Holdings Limited,identity,excluded_sector:Financial Services
ABG.AX,ABG,Abacus Group,identity,excluded_industry:reit
ABR.AX,ABR,Albright Metals Ltd,market_cap,below_min_market_cap:2215742
ABV.AX,ABV,Advanced Braking Technology Limited,market_cap,below_min_market_cap:35469809
ABX.AX,ABX,ABx Group Limited,market_cap,below_min_market_cap:10425526
ABY.AX,ABY,Adore Beauty Group Limited,market_cap,below_min_market_cap:20097953
ACE.AX,ACE,Acusensus Limited,expected_fcf,expected_fcf_not_positive
ACF.AX,ACF,Acrow Limited,expected_fcf,expected_fcf_not_positive
ACM.AX,ACM,Australian Critical Minerals Limited,market_cap,below_min_market_cap:2780404
ACP.AX,ACP,Audalia Resources Limited,market_cap,below_min_market_cap:13758999
ACR.AX,ACR,Acrux Limited,market_cap,below_min_market_cap:4352614
ACS.AX,ACS,Accent Resources NL,financial_data,insufficient_annual_history:0
ACU.AX,ACU,Acumentis Group Limited,market_cap,below_min_market_cap:15420064
ACW.AX,ACW,Actinogen Medical Limited,financial_data,insufficient_annual_history:0
AD1.AX,AD1,AdNeo Limited,market_cap,below_min_market_cap:5626682
AD8.AX,AD8,Audinate Group Limited,financial_data,ttm_ebitda_not_positive
ADC.AX,ADC,ACDC Metals Limited,market_cap,below_min_market_cap:3769231
ADD.AX,ADD,Adavale Resources Limited,market_cap,below_min_market_cap:11097209
ADN.AX,ADN,Andromeda Metals Limited,market_cap,below_min_market_cap:19780249
ADO.AX,ADO,AnteoTech Limited,market_cap,below_min_market_cap:44160837
ADR.AX,ADR,Adherium Limited,market_cap,below_min_market_cap:3326525
ADS.AX,ADS,Adslot Limited,market_cap,below_min_market_cap:4256749
ADX.AX,ADX,ADX Energy Ltd,market_cap,below_min_market_cap:15456162
ADY.AX,ADY,Admiralty Resources NL,market_cap,below_min_market_cap:11249110
AEE.AX,AEE,Aura Energy Limited,financial_data,ttm_revenue_unavailable
AEF.AX,AEF,Australian Ethical Investment Limited,identity,excluded_sector:Financial Services
AEG.AX,AEG,Aland Equity Group Limited,identity,excluded_sector:Financial Services
AEI.AX,AEI,Aeris Environmental Ltd,market_cap,below_min_market_cap:7736299
AEM.AX,AEM,Advanced Engineered Materials Ltd,financial_data,insufficient_annual_history:2
AER.AX,AER,Aeeris Limited,market_cap,below_min_market_cap:3633458
AEU.AX,AEU,Atomic Eagle Limited,financial_data,insufficient_annual_history:1
AEV.AX,AEV,Avenira Limited,market_cap,below_min_market_cap:23230329
AFA.AX,AFA,ASF Group Limited,identity,excluded_sector:Financial Services
AFG.AX,AFG,Australian Finance Group Limited,identity,excluded_sector:Financial Services
AFL.AX,AFL,AF Legal Group Limited,market_cap,below_min_market_cap:9587634
AFP.AX,AFP,AFT Pharmaceuticals Limited,expected_fcf,expected_fcf_not_positive
AGC.AX,AGC,Australian Gold and Copper Limited,market_cap,below_min_market_cap:31912783
AGE.AX,AGE,Alligator Energy Limited,financial_data,insufficient_annual_history:0
AGL.AX,AGL,AGL Energy Limited,expected_fcf,expected_fcf_not_positive
AGN.AX,AGN,Argenica Therapeutics Limited,market_cap,below_min_market_cap:16028466
AGR.AX,AGR,Aguia Resources Limited,market_cap,below_min_market_cap:23957427
AGY.AX,AGY,Argosy Minerals Limited,market_cap,below_min_market_cap:35957660
AHE.AX,AHE,Adheris Health Limited,market_cap,below_min_market_cap:5913550
AHF.AX,AHF,Australian Dairy Nutritionals Limited,market_cap,below_min_market_cap:8983173
AHK.AX,AHK,Ark Mines Limited,market_cap,below_min_market_cap:16504988
AHN.AX,AHN,Athena Resources Limited,market_cap,below_min_market_cap:6718632
AI1.AX,AI1,Adisyn Ltd,financial_data,ttm_ebitda_not_positive
AIA.AX,AIA,Auckland International Airport Limited,expected_fcf,expected_fcf_not_positive
AIM.AX,AIM,Ai-Media Technologies Limited,market_cap,below_min_market_cap:34600355
AIV.AX,AIV,ActivEX Limited,market_cap,below_min_market_cap:5570685
AIZ.AX,AIZ,Air New Zealand Limited,expected_fcf,expected_fcf_not_positive
AJL.AX,AJL,AJ Lucas Group Limited,market_cap,below_min_market_cap:5885474
AJX.AX,AJX,Alexium International Group Limited,market_cap,below_min_market_cap:15611048
AKA.AX,AKA,Aureka Limited,market_cap,below_min_market_cap:16039345
AKG.AX,AKG,Academies Australasia Group Limited,market_cap,below_min_market_cap:5459442
AKM.AX,AKM,Aspire Mining Limited,financial_data,insufficient_annual_history:0
AKN.AX,AKN,AuKing Mining Limited,market_cap,below_min_market_cap:32175591
AKO.AX,AKO,AKORA Resources Limited,market_cap,below_min_market_cap:12865440
AL3.AX,AL3,AML3D Limited,financial_data,ttm_ebitda_not_positive
ALA.AX,ALA,Arovella Therapeutics Limited,financial_data,ttm_ebitda_not_positive
ALB.AX,ALB,Albion Resources Limited,market_cap,below_min_market_cap:5072358
ALD.AX,ALD,Ampol Limited,expected_fcf,expected_fcf_not_positive
