ticker,exchange_symbol,company,sector,industry,market,currency,financial_currency,price_major,shares_outstanding,market_cap_local,market_cap_usd,ttm_revenue,ttm_ebitda,ttm_fcf,ttm_fcf_usd,ttm_source,normalized_fcf_margin,normalized_margin_observations,forward_growth,revenue_cagr,latest_yoy_growth,forward_revenue,forward_fcf,expected_fcf,expected_fcf_usd,total_debt_usd,cash_usd,enterprise_value_usd,enterprise_value_calculated_usd,enterprise_value_provider_usd,enterprise_value_source,fcf_yield,revenue_trend,ebitda_trend,fcf_per_share_trend,z_revenue,z_ebitda,z_fcf_per_share,growth_score,fcf_yield_rank,growth_rank,raw_weight,target_weight,annual_periods,latest_annual_period_end,eligible,exclusion_reasons,data_quality_flags
10X.AX,10X,Exultant Mining Limited,Basic Materials,Other Industrial Metals & Mining,AU,AUD,AUD,0.145,37400001,5423000,3866666.554,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,false,below_min_market_cap:3866667,
14D.AX,14D,1414 Degrees Limited,Utilities,Utilities - Independent Power Producers,AU,AUD,AUD,0.058,714389803,41434608,29543391.65,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,false,below_min_market_cap:29543392,
1AD.AX,1AD,AdAlta Limited,Healthcare,Biotechnology,AU,AUD,AUD,0.003,3212169031,9636507,6870949.532,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,false,below_min_market_cap:6870950,
1AE.AX,1AE,Aurora Energy Metals Limited,Energy,Uranium,AU,AUD,AUD,0.056,179063737,10027570,7149782.322,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,false,below_min_market_cap:7149782,
1AI.AX,1AI,Algorae Pharmaceuticals Limited,Healthcare,Biotechnology,AU,AUD,AUD,0.009,2027570988,18248138,13011149.71,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,false,below_min_market_cap:13011150,
1CG.AX,1CG,One Click Group Limited,Technology,Software - Application,AU,AUD,AUD,0.009,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,false,market_cap_unavailable,
1MC.AX,1MC,Morella Corporation Limited,Basic Materials,Other Industrial Metals & Mining,AU,AUD,AUD,0.029,441759069,12811013,9134411.854,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,false,below_min_market_cap:9134412,
1TT.AX,1TT,Thrive Tribe Technologies Limited,Technology,Software - Application,AU,AUD,AUD,0.001,5753285447,5753286,4102164.586,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,false,below_min_market_cap:4102165,
29M.AX,29M,29Metals Limited,Basic Materials,Other Precious Metals & Mining,AU,AUD,AUD,0.335,1750076545,586275648,418021840.2,600481984,101462000,-22593000,-16109090.44,revenue=provider_ttm|ebitda=provider_ttm|fcf=provider_ttm_fcf_field,-0.03762477577,1,-0.03849653612,-0.07435270566,0.01528771819,577365507.6,-21723247.76,-22158123.88,,,,,,,,,,,,,,,,,,,,4,2025-12-31,false,expected_fcf_not_positive,revenue_ttm_from_provider|ebitda_ttm_from_provider|fcf_ttm_from_provider_fcf_field
360.AX,360,"Life360, Inc.",Technology,Software - Application,AU,AUD,USD,20.52,244441107,5015931392,3576421565,572558000,25474000,98474000,98474000,revenue=quarterly_sum|ebitda=quarterly_sum|fcf=quarterly_sum,0.1198521087,4,0.3,0.2894568252,0.3176368296,744325400,89208968.78,93841484.39,93841484.39,311475000,267061000,4234266565,4234266565,3467121159,calculated,0.02216239411,0.2440813094,1.073526618,1.014786306,0.5926632979,2.602348765,1.517610537,1.5708742,210,15,,,4,2025-12-31,true,,reporting_currency_differs:USD_vs_AUD|growth_clamped_high|preferred_stock_assumed_zero
3DA.AX,3DA,Amaero Inc.,Basic Materials,Other Industrial Metals & Mining,AU,AUD,AUD,0.22,953327200,209731984,149541517.2,18146328,-32408276,-53187536,-37923375.72,revenue=provider_ttm|ebitda=provider_ttm|fcf=provider_ttm_fcf_field,,0,,,,,,,,,,,,,,,,,,,,,,,,,,4,2025-06-30,false,ttm_ebitda_not_positive,revenue_ttm_from_provider|ebitda_ttm_from_provider|fcf_ttm_from_provider_fcf_field
3DP.AX,3DP,Pointerra Limited,Technology,Software - Application,AU,AUD,AUD,0.026,818676797,21285598,15176896.53,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,false,below_min_market_cap:15176897,
3PL.AX,3PL,3P Learning Limited,Consumer Defensive,Education & Training Services,AU,AUD,AUD,0.325,272906522,88694616,63240366.07,104115000,13898000,1142125,814349.3523,revenue=provider_ttm|ebitda=provider_ttm|fcf=provider_ttm_fcf_field,0.01096984104,1,-0.02278317583,-0.008766835039,-0.04380768701,101742929.6,1116103.765,1129114.383,805072.6201,1067379.648,6788591.602,164447493.2,164447493.2,55221827.98,calculated,0.004895621114,-0.008770480934,0.3650372111,,-0.6327241795,0.6125257823,,-0.0100991986,264,113,,,4,2026-06-30,true,,revenue_ttm_from_provider|ebitda_ttm_from_provider|fcf_ttm_from_provider_fcf_field|preferred_stock_assumed_zero
49M.AX,49M,49 Metals Limited,Basic Materials,Gold,AU,AUD,AUD,0.11,82236653,9046032,6449933.501,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,false,below_min_market_cap:6449934,
4DS.AX,4DS,4DS Memory Limited,Technology,Semiconductors,AU,AUD,AUD,0.009,2060898718,18548088,13225017.8,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,false,below_min_market_cap:13225018,
4DX.AX,4DX,4DMedical Limited,Healthcare,Medical Devices,AU,AUD,AUD,3.74,601571602,2249877760,1604190869,7061546,-55184908,-136052624,-97007215.71,revenue=provider_ttm|ebitda=provider_ttm|fcf=provider_ttm_fcf_field,,0,,,,,,,,,,,,,,,,,,,,,,,,,,4,2026-06-30,false,ttm_ebitda_not_positive,revenue_ttm_from_provider|ebitda_ttm_from_provider|fcf_ttm_from_provider_fcf_field
5GG.AX,5GG,Pentanet Limited,Communication Services,Telecom Services,AU,AUD,AUD,0.017,433171658,7363918,5250565.266,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,false,below_min_market_cap:5250565,
5GN.AX,5GN,5G Networks Limited,Technology,Information Technology Services,AU,AUD,AUD,0.056,264100416,14789624,10545186.14,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,false,below_min_market_cap:10545186,
6KA.AX,6KA,"6K Additive, Inc.",Basic Materials,Other Industrial Metals & Mining,AU,AUD,USD,0.79,267798503,211560816,150845497.2,23278236,-10968772,-41639968,-41639968,revenue=provider_ttm|ebitda=provider_ttm|fcf=provider_ttm_fcf_field,,0,,,,,,,,,,,,,,,,,,,,,,,,,,3,2025-12-31,false,ttm_ebitda_not_positive,reporting_currency_differs:USD_vs_AUD|annual_history_below_preferred:3|revenue_ttm_from_provider|ebitda_ttm_from_provider|fcf_ttm_from_provider_fcf_field
88E.AX,88E,88 Energy Limited,Energy,Oil & Gas E&P,AU,AUD,AUD,0.02,1330952980,26619058,18979719.94,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,false,below_min_market_cap:18979720,
8CO.AX,8CO,8common Limited,Technology,Software - Application,AU,AUD,AUD,0.035,224094903,7843321,5592385.576,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,false,below_min_market_cap:5592386,
8IH.AX,8IH,8I Holdings Limited,Consumer Defensive,Education & Training Services,AU,AUD,SGD,0.012,358138783,4297665,3064288.681,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,false,below_min_market_cap:3064289,
A11.AX,A11,Atlantic Lithium Limited,Basic Materials,Other Industrial Metals & Mining,AU,AUD,AUD,0.275,801503291,220413408,157157505.6,335150,-6049084,-15672730,-11174851.72,revenue=provider_ttm|ebitda=provider_ttm|fcf=provider_ttm_fcf_field,,0,,,,,,,,,,,,,,,,,,,,,,,,,,4,2026-06-30,false,ttm_ebitda_not_positive,revenue_ttm_from_provider|ebitda_ttm_from_provider|fcf_ttm_from_provider_fcf_field
