ticker,period_type,period_end,currency,revenue,ebitda,ebitda_is_derived,ebit,operating_cashflow,capex,depreciation_amortization,diluted_shares,basic_shares,total_debt,cash_and_equivalents,preferred_stock,minority_interest,shares_outstanding
29M.AX,annual,2021-12-31,AUD,,,false,,,,,,,,,,,
29M.AX,annual,2022-12-31,AUD,714013000,142427000,false,-46972000,,-113611000,189399000,601038221,601038221,265476000,171962000,,715692000,601264025
29M.AX,annual,2023-12-31,AUD,453875000,-231837000,false,-351546000,,-84944000,119709000,671706484,671706484,271333000,161859000,,422344000,854115669
29M.AX,annual,2024-12-31,AUD,557768000,-19108000,false,-147747000,,-116296000,128639000,790624385,790624385,315360000,252350000,,419280000,1481554624
29M.AX,annual,2025-12-31,AUD,566295000,172226000,false,50541000,,-123678000,121685000,1539012641,1483815929,246619000,102650000,,446062000,1485446736
360.AX,annual,2021-12-31,USD,,,false,,,,,,,12506000,,,,
360.AX,annual,2022-12-31,USD,228305000,-85212000,false,-94411000,-57055000,-701000,9199000,188518779,186628635,8386000,75444000,,244538000,65239843
360.AX,annual,2023-12-31,USD,304518000,-20000000,false,-29983000,7524000,-2221000,9983000,200245626,200245626,5228000,68964000,,247064000,68155830
360.AX,annual,2024-12-31,USD,371484000,2133000,false,-7976000,32612000,-5132000,10109000,216376713,216376713,359000,159238000,,358545000,75404996
360.AX,annual,2025-12-31,USD,489481000,32656000,false,18979000,88630000,-7508000,13677000,255517245,231753717,310386000,494261000,,548182000,79359589
360.AX,quarterly,2024-12-31,USD,,,false,,,,,,,,,,,
360.AX,quarterly,2025-03-31,USD,,,false,,,,,250336011,227098479,,,,,
360.AX,quarterly,2025-06-30,USD,115381000,5148000,false,1992000,13323000,-2742000,3156000,253428144,230392155,309463000,432710000,,366658000,77516232
360.AX,quarterly,2025-09-30,USD,124497000,9707000,false,5691000,26447000,-1839000,4016000,257382534,233208816,309909000,455733000,,391447000,78268702
360.AX,quarterly,2025-12-31,USD,145979000,12666000,false,9107000,36800000,-1405000,3559000,,,310386000,494261000,,548182000,79359589
360.AX,quarterly,2026-03-31,USD,143123000,-2566000,false,-8078000,17209000,-1592000,5512000,257031237,240446991,310930000,351191000,,597630000,80688123
360.AX,quarterly,2026-06-30,USD,158959000,5667000,false,-57000,23810000,-956000,5724000,256783383,243007014,311475000,267061000,,613431000,81216330
3DA.AX,annual,2022-06-30,AUD,569834,-7345943,false,-8402145,,-3151093,1056202,206522059,206522059,5453005,11117957,,14670982,241347942
3DA.AX,annual,2023-06-30,AUD,790514,-10763218,false,-12287199,,-1559710,1523981,346449926,346449926,1642641,8833468,,14958610,416845213
3DA.AX,annual,2024-06-30,AUD,463856,-17065678,false,-18107129,,-12230331,1041451,465115122,465115122,16070987,11987989,,29425247,542912442
3DA.AX,annual,2025-06-30,AUD,3812978,-22934246,false,-24615760,,-25754562,1681514,623406391,623406391,21665401,19219215,,54234751,690670634
3PL.AX,annual,2022-06-30,AUD,,,false,,,,,,,,,,-17000,
3PL.AX,annual,2023-06-30,AUD,106902000,13507000,false,4031000,,-4074000,9476000,276484170,276484170,1541000,14010000,,-42000,276484170
3PL.AX,annual,2024-06-30,AUD,109949000,-54979000,false,-65924000,,-4226000,10945000,274797646,274797646,3086000,1970000,,139370000,272906522
3PL.AX,annual,2025-06-30,AUD,108885000,11083000,false,449000,,-4802000,10634000,272906522,272906522,884000,8505000,,140537000,272906522
3PL.AX,annual,2026-06-30,AUD,104115000,22551000,false,10947000,,-4186000,11604000,272906522,272906522,1497000,9521000,,149967000,272906522
4DX.AX,annual,2022-06-30,AUD,1054300,-35254861,false,-36750574,,-3078146,1495713,,,6239178,51114537,,59510992,294675761
4DX.AX,annual,2023-06-30,AUD,282181,-28564736,false,-31130074,,-731313,2565338,300013539,300013539,5138731,69576373,,74773023,345132572
4DX.AX,annual,2024-06-30,AUD,3049658,-31856762,false,-35921552,,-302873,4064790,327078836,327078836,5120608,30606144,,70926649,410394665
4DX.AX,annual,2025-06-30,AUD,5778401,-24822256,false,-30148316,,-283263,5326060,214784671,214784671,4308041,6878735,,64235165,465540474
4DX.AX,annual,2026-06-30,AUD,,,false,,,,,597559121,597559121,,,,,
6KA.AX,annual,2023-12-31,USD,20222000,-15583000,false,-15583000,,-1284000,,173666843,173666843,,,,0,173666843
6KA.AX,annual,2024-12-31,USD,18383000,-15841000,false,-15841000,,-3095000,,173666843,173666843,,,,0,173666843
6KA.AX,annual,2025-12-31,USD,17676045,-12932083,false,-12932083,,-1925982,,122190393,122190393,360618,29469303,,62916505,267267591
A11.AX,annual,2022-06-30,AUD,,,false,,,-20869762,,565084093,565084093,,23881650,,,
A11.AX,annual,2023-06-30,AUD,0,-11524272,false,-11524272,,-20100408,,601215012,601215012,0,15345917,,30217368,609241660
A11.AX,annual,2024-06-30,AUD,0,-12331360,false,-12392846,,-25136888,61486,623586943,623586943,611353,12678934,,35451129,649669053
A11.AX,annual,2025-06-30,AUD,10645,-6147114,false,-6267641,,-19533031,120527,668317514,668317514,176253,5386779,,40702643,686647313
A11.AX,annual,2026-06-30,AUD,1283,-6856629,false,-6904055,-5576561,-11541711,47426,,,0,9735333,,50599933,801503291
A11.AX,quarterly,2024-12-31,AUD,,,false,,,-6191000,,,,,,,,
A11.AX,quarterly,2025-03-31,AUD,,,false,,,-3980000,,,,,,,,
A11.AX,quarterly,2025-06-30,AUD,,,false,,,,,,,176253,5386779,,40702643,686647313
A11.AX,quarterly,2025-12-31,AUD,,,false,,,-2209000,,,,,,,,
A11.AX,quarterly,2026-03-31,AUD,,,false,,,-2397000,,,,,,,,
A11.AX,quarterly,2026-06-30,AUD,,,false,,,-2823000,,,,0,9735333,,50599933,801503291
A1M.AX,annual,2021-12-31,AUD,25037000,6168000,false,3758000,,-6223000,2410000,110797210,110797210,,29259000,,69192000,308715018
A1M.AX,annual,2023-06-30,AUD,125600000,23484000,false,-6080000,,-59676000,29564000,383586654,383586654,2832000,30888000,,154290000,462224392
A1M.AX,annual,2024-06-30,AUD,182469000,53086000,false,13207000,,-65555000,39879000,499610390,471633193,6994000,74341000,,219114000,570878324
A1M.AX,annual,2025-06-30,AUD,,,false,,,,,575453873,,,,,,
A1N.AX,annual,2021-12-31,AUD,,,false,,,,,276605346,276605346,98870000,257068000,,36651000,275154900
A1N.AX,annual,2022-12-31,AUD,344890000,-166008000,false,-186208000,,-8268000,20200000,309873237,309873237,122772000,23852000,,35774000,309080602
A1N.AX,annual,2023-12-31,AUD,334292000,-1196000,false,-20798000,,-20844000,19602000,306896245,306896245,163187000,18862000,,36504000,313050373
A1N.AX,annual,2024-12-31,AUD,365648000,71792000,false,22072000,,-14391000,49720000,305276304,305276304,454520000,18548000,,36253000,313050373
A1N.AX,annual,2025-12-31,AUD,427483000,87003000,false,21654000,,-5404000,65349000,,,,,,,
A2M.AX,annual,2022-06-30,NZD,,,false,,,,,,,107000000,,,13583000,
A2M.AX,annual,2023-06-30,NZD,1591088000,245511000,false,227314000,,-10407000,18197000,736573592,733065000,101528000,802234000,,3681000,721976214
A2M.AX,annual,2024-06-30,NZD,1673323000,273343000,false,241144000,,-20526000,32199000,726699913,722777000,66220000,968943000,,-9703000,722934808
A2M.AX,annual,2025-06-30,NZD,1899273000,318065000,false,291727000,,-3971000,26338000,727983495,723840000,100736000,1100171000,,-20231000,724019118
A2M.AX,annual,2026-06-30,NZD,1972235000,315203000,false,296730000,,-73477000,18473000,729974293,725206000,24313000,784472000,,1073116000,725426194
A4N.AX,annual,2022-06-30,AUD,,,false,,,,,,,,,,,
A4N.AX,annual,2023-06-30,AUD,16148,-16703040,false,-17689708,,-17575799,986668,839394397,839394397,338815,20588748,,56015641,857806079
A4N.AX,annual,2024-06-30,AUD,44055,-22802927,false,-24762281,,-17570879,1959354,921699527,921699527,3689004,189618503,,247174984,1134580693
A4N.AX,annual,2025-06-30,AUD,317517,-28914278,false,-32240543,,-88238940,3326265,1135641911,1135641911,4415369,102035989,,218875711,1137002297
A4N.AX,annual,2026-06-30,AUD,747150,-37057755,false,-42501984,,-166455012,5444229,1246319834,1246319834,2354733,113278477,,411087514,1451896391
AA2.AX,annual,2021-12-31,GBP,,,false,,,,,,,,,,,
AA2.AX,annual,2022-12-31,GBP,0,-643000,false,-736000,-2681000,-532000,93000,113304308,113304308,,9375000,,30000,1146363330
AA2.AX,annual,2023-12-31,GBP,0,133000,false,59000,-3145000,-990000,74000,114636333,114636333,0,2517000,,140000,1146363330
AA2.AX,annual,2024-12-31,GBP,0,2864000,false,-3121000,-3092000,-1074000,119000,150063671,150063671,1498000,913000,,140000,1834181328
AA2.AX,annual,2025-12-31,GBP,0,-12108000,false,-3053000,-2575000,-1427000,79000,203847504,203847504,629000,5436000,,140000,2615711381
