ticker,exchange_symbol,company,sector,industry,market,currency,market_cap_local,market_cap_usd,enterprise_value_usd,enterprise_value_source,ttm_fcf,ttm_fcf_usd,normalized_fcf_margin,forward_growth,forward_revenue,forward_fcf,expected_fcf,expected_fcf_usd,fcf_yield,revenue_trend,ebitda_trend,fcf_per_share_trend,z_revenue,z_ebitda,z_fcf_per_share,growth_score,fcf_yield_rank,growth_rank,target_weight,raw_weight,ttm_source,data_quality_flags
AX1.AX,AX1,Accent Group Limited,Consumer Cyclical,Apparel Retail,AU,AUD,408806240,291483941.6,994512798,calculated,162717744,116019778.4,0.1057143483,0.03359206875,1590926609,168183769.6,165450756.8,117968450.6,0.1186193389,0.02607845751,-0.08318046464,,-0.4638368929,-0.6463128458,,-0.5550748694,26,219,0.03,58.17603579,revenue=provider_ttm|ebitda=provider_ttm|fcf=provider_ttm_fcf_field,revenue_ttm_from_provider|ebitda_ttm_from_provider|fcf_ttm_from_provider_fcf_field|preferred_stock_assumed_zero
BOL.AX,BOL,Boom Logistics Limited,Industrials,Specialty Business Services,AU,AUD,79851944,56935430.78,213895854,calculated,43126124,30749463.63,0.1591346401,0.06732693753,289249869.4,46029673.86,44577898.93,31784597.24,0.1485984728,0.0802342454,0.1130196566,,-0.2013834445,-0.09527636326,,-0.1483299039,16,137,0.03,47.07098108,revenue=provider_ttm|ebitda=provider_ttm|fcf=provider_ttm_fcf_field,revenue_ttm_from_provider|ebitda_ttm_from_provider|fcf_ttm_from_provider_fcf_field|preferred_stock_assumed_zero
DPM.AX,DPM,DPM Metals Inc.,Basic Materials,Gold,AU,AUD,1.276725555e+10,9103212249,8566459574,provider,744559000,744559000,0.5266695916,0.3,1679280200,884425817.2,814492408.6,814492408.6,0.09507923332,0.2609062171,0.2808230203,0.3718144253,0.6742013056,0.3760066038,0.2645420687,0.4382499927,46,60,0.03,88.79353605,revenue=quarterly_sum|ebitda=quarterly_sum|fcf=quarterly_sum,reporting_currency_differs:USD_vs_AUD|growth_clamped_high|total_debt_unavailable|ev_from_provider_fallback
DRR.AX,DRR,Deterra Royalties Limited,Basic Materials,Other Industrial Metals & Mining,AU,AUD,2149794560,1532830301,1729208905,calculated,258692992,184451325.8,1.067215314,-0.02068964219,237384830.7,253340726.6,256016859.3,182543209.8,0.1055645789,0.02555621839,0.03415811579,,-0.4663678035,-0.3167623939,,-0.3915650987,37,188,0.03,59.88344553,revenue=provider_ttm|ebitda=provider_ttm|fcf=provider_ttm_fcf_field,revenue_ttm_from_provider|ebitda_ttm_from_provider|fcf_ttm_from_provider_fcf_field|preferred_stock_assumed_zero
DUG.AX,DUG,DUG Technology Ltd,Technology,Information Technology Services,AU,AUD,237375936,169251999.3,202620999.3,calculated,23743876,23743876,0.2748547351,0.2676668884,109509939.5,30099325.41,26921600.7,26921600.7,0.1328667847,0.1558220585,0.1300760486,,0.1649353364,-0.04737275243,,0.05878129199,20,103,0.03,39.82141779,revenue=provider_ttm|ebitda=provider_ttm|fcf=provider_ttm_fcf_field,reporting_currency_differs:USD_vs_AUD|revenue_ttm_from_provider|ebitda_ttm_from_provider|fcf_ttm_from_provider_fcf_field|preferred_stock_assumed_zero
EDU.AX,EDU,EDU Holdings Limited,Consumer Defensive,Education & Training Services,AU,AUD,140689984,100313711.2,113779664.4,calculated,23948000,17075222.32,0.2380919241,0.3,130757900,31132400,27540200,19636505.67,0.1725836138,0.521730295,1.032851383,,1.938224623,2.48811062,,2.213167621,12,7,0.03,40.46808574,revenue=provider_ttm|ebitda=provider_ttm|fcf=provider_ttm_fcf_field,revenue_ttm_from_provider|ebitda_ttm_from_provider|fcf_ttm_from_provider_fcf_field|growth_clamped_high|preferred_stock_assumed_zero
FEX.AX,FEX,Fenix Resources Limited,Basic Materials,Steel,AU,AUD,200378048,142872044.3,176832827.6,calculated,28750376,20499376.23,0.04875201096,0.3,766645068.8,37375488.8,33062932.4,23574282.66,0.1333139496,0.3628891922,0.08797443024,,1.168438109,-0.1656169592,,0.5014105751,18,54,0.03,38.22566862,revenue=provider_ttm|ebitda=provider_ttm|fcf=provider_ttm_fcf_field,revenue_ttm_from_provider|ebitda_ttm_from_provider|fcf_ttm_from_provider_fcf_field|growth_clamped_high|preferred_stock_assumed_zero
FWD.AX,FWD,Fleetwood Limited,Industrials,Engineering & Construction,AU,AUD,254133120,181200080.3,248478509.7,calculated,56638124,40383687.95,0.1192391599,0.003805205388,476803457.3,56853643.69,56745883.85,40460522.06,0.1628330841,0.06068777344,0.08711870284,,-0.2961108812,-0.1680203064,,-0.2320655938,13,160,0.03,51.49539808,revenue=provider_ttm|ebitda=provider_ttm|fcf=provider_ttm_fcf_field,revenue_ttm_from_provider|ebitda_ttm_from_provider|fcf_ttm_from_provider_fcf_field|preferred_stock_assumed_zero
GDF.AX,GDF,Garda Property Group,Real Estate,Real Estate Services,AU,AUD,201688320,143806284.6,481192371,calculated,111030248,79165949.92,2.889531503,-0.15,32661250,94375710.8,102702979.4,73228503.67,0.152181348,-0.1485527258,0.7161320369,,-1.310146365,1.598590707,,0.144222171,15,93,0.03,62.75543039,revenue=provider_ttm|ebitda=provider_ttm|fcf=provider_ttm_fcf_field,revenue_ttm_from_provider|ebitda_ttm_from_provider|fcf_ttm_from_provider_fcf_field|growth_clamped_low|preferred_stock_assumed_zero
GNP.AX,GNP,GenusPlus Group Ltd,Industrials,Engineering & Construction,AU,AUD,1671270912,1191636979,1204652322,calculated,130070928,92742191.94,0.101532828,0.3,1665394432,169092206.4,149581567.2,106653520.7,0.0885346907,0.3580160134,0.3705623138,,1.14482138,0.6280432708,,0.8864323255,52,32,0.03,41.98606817,revenue=provider_ttm|ebitda=provider_ttm|fcf=provider_ttm_fcf_field,revenue_ttm_from_provider|ebitda_ttm_from_provider|fcf_ttm_from_provider_fcf_field|growth_clamped_high|preferred_stock_assumed_zero
