market,exchange,exchange_symbol,yahoo_symbol,name,industry,source
AU,ASX,10X,10X.AX,EXULTANT MINING LIMITED,Materials,asx:company-directory
AU,ASX,14D,14D.AX,1414 DEGREES LIMITED,Capital Goods,asx:company-directory
AU,ASX,1AD,1AD.AX,ADALTA LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",asx:company-directory
AU,ASX,1AE,1AE.AX,AURORA ENERGY METALS LIMITED,Materials,asx:company-directory
AU,ASX,1AI,1AI.AX,ALGORAE PHARMACEUTICALS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",asx:company-directory
AU,ASX,1CG,1CG.AX,ONE CLICK GROUP LIMITED,Capital Goods,asx:company-directory
AU,ASX,1MC,1MC.AX,MORELLA CORPORATION LIMITED,Materials,asx:company-directory
AU,ASX,1TT,1TT.AX,THRIVE TRIBE TECHNOLOGIES LIMITED,Software & Services,asx:company-directory
AU,ASX,29M,29M.AX,29METALS LIMITED,Materials,asx:company-directory
AU,ASX,360,360.AX,LIFE360 INC.,Software & Services,asx:company-directory
AU,ASX,3DA,3DA.AX,AMAERO INC.,Capital Goods,asx:company-directory
AU,ASX,3DP,3DP.AX,POINTERRA LIMITED,Software & Services,asx:company-directory
AU,ASX,3PL,3PL.AX,3P LEARNING LIMITED..,Consumer Services,asx:company-directory
AU,ASX,49M,49M.AX,49 METALS LIMITED,Materials,asx:company-directory
AU,ASX,4DS,4DS.AX,4DS MEMORY LIMITED,Semiconductors & Semiconductor Equipment,asx:company-directory
AU,ASX,4DX,4DX.AX,4DMEDICAL LIMITED,Health Care Equipment & Services,asx:company-directory
AU,ASX,5GG,5GG.AX,PENTANET LIMITED,Telecommunication Services,asx:company-directory
AU,ASX,5GN,5GN.AX,5G NETWORKS LIMITED.,Software & Services,asx:company-directory
AU,ASX,6KA,6KA.AX,"6K ADDITIVE, INC.",Materials,asx:company-directory
AU,ASX,88E,88E.AX,88 ENERGY LIMITED,Energy,asx:company-directory
AU,ASX,8CO,8CO.AX,8COMMON LIMITED,Software & Services,asx:company-directory
AU,ASX,8IH,8IH.AX,8I HOLDINGS LTD,Financial Services,asx:company-directory
AU,ASX,A11,A11.AX,ATLANTIC LITHIUM LIMITED,Materials,asx:company-directory
AU,ASX,A1M,A1M.AX,AIC MINES LIMITED,Materials,asx:company-directory
